"session","created","modified","ended","expired","sex","birthyear","code_anonyme","mother_tongue","other_languages","years_of_studies","occupation","country_living"
"AH170596_XXXGq7W3W35S5vAkRwoUaeXiaivETVVcXjGp2xCrXx6zQtWKN0FGOa5",2021-03-02 15:37:37,2021-03-02 15:40:32,2021-03-02 15:40:32,NA,1,1996,"AH170596","Français","Français",11,3,"Belgique"
"AR140120_XXXUm3s-lOAwRFqTNldZdnTxgDrm9tNrXoOGy2Smd8DKq6RJBlKbQp1",2021-04-06 14:49:34,2021-04-06 15:05:14,2021-04-06 15:05:14,NA,2,2021,"AR140100","Français","Anglais",9,3,"Belgique"
"BC121002_XXXHl3tNMuPwuuTSUZLx7RDHo7_20bJabWEcqF-u1OXDbwxRDThyC-h",2021-03-31 16:59:20,2021-03-31 17:01:53,2021-03-31 17:01:53,NA,2,2002,"CB121002","Français","Anglais",6,3,"Belgique"
"BE180199_XXXbofzvrcZHYRb6oS7VYsAC2nVAJL1nRsSoldbOuasxl3xonqd9ETx",2021-04-21 14:44:52,2021-04-21 14:47:23,2021-04-21 14:47:23,NA,2,1999,"BE180199","Français","Anglais",10,3,"Belgique"
"BS240201_XXXbmm4JtXASTjnKy5LxL5YOhtKyDGZzhTWNdaZXRzs9Jr9oTEz41zW",2021-04-01 00:06:08,2021-04-01 00:07:25,2021-04-01 00:07:25,NA,2,2021,"BS240201","Français","Anglais",8,3,"Belgique"
"CB131101_XXX9qjWX_Y2xFRYwzEp_AZu0BPJaTp5AO2RrXDpmy3JUCW1wIDnEwFo",2021-03-02 18:36:36,2021-03-02 18:37:42,2021-03-02 18:37:42,NA,2,2021,"CB131101","Français","Français",7,3,"Belgique"
"CB300700_XXXF9mKIfWVfHL2KGq4XWst1d7sKVlus6ISagapQssossKVL7VtDMaH",2021-04-03 19:14:40,2021-04-03 19:15:32,2021-04-03 19:15:32,NA,1,2021,"CB300700","Français","Français",8,3,"Belgique"
"CF040299_XXX8H34HfOd4CuerDoQfbxmnNZQ0nrtbP8vXurWUhFHTEKPMcRz-uVW",2021-03-12 10:17:23,2021-03-12 10:20:02,2021-03-12 10:20:02,NA,2,1999,"CF040299","Français","Français",10,3,"Belgique"
"CL030297_XXXoI9qavcO44RcsCqb1q7xEiLU5i0ZjArkV8-jfyQJx52dCFv_DDIX",2021-05-03 16:46:37,2021-05-03 16:49:48,2021-05-03 16:49:48,NA,2,1997,"CL030297","Français","Anglais",12,3,"Belgique"
"CV300898_XXXS8cg3fiF_Sm76dYvQa_BbjUzfiyPiO4hR31n7F7xye2VBFWMWcUL",2021-03-02 18:49:04,2021-03-02 18:51:04,2021-03-02 18:51:04,NA,2,1998,"CV300898","Français","Anglais",9,3,"Belgique"
